"","name","brewery","rating","style"
"135","Black &amp; Wild","Side Project Brewing",99,"American Wild Ale"
"136","Bourbon Barrel Aged Dark Star Oatmeal Stout","Fremont Brewing Company",99,"Oatmeal Stout"
"137","Permanent Funeral","3 Floyds Brewing Co.",99,"American Double / Imperial IPA"
"138","Stickee Monkee","Firestone Walker Brewing Co.",99,"Quadrupel (Quad)"
"139","Adam From The Wood","Hair of the Dog Brewing Company / Brewery and Tasting Room",99,"Old Ale"
"14","Very Green","Tree House Brewing Company",100,"American Double / Imperial IPA"
"140","Citraquench'l","Heist Brewery",99,"American IPA"
"141","Todd The Axe Man","Surly Brewing Company",99,"American IPA"
"142","Heavy Mettle","Trillium Brewing Company",99,"American Double / Imperial IPA"
"143","Trickery","Hardywood Park Craft Brewery",99,"Milk / Sweet Stout"
"144","Bourbon Barrel Oro Negro","Jackie O's Pub &amp; Brewery",98,"American Double / Imperial Stout"
"145","Maple Bacon Coffee Porter","Funky Buddha Brewery",98,"American Porter"
"146","Kentucky Christmas Morning","Hardywood Park Craft Brewery",98,"Milk / Sweet Stout"
"147","Clare's Thirsty Ale","Haymarket Pub &amp; Brewery",98,"American Double / Imperial Stout"
"148","Imperial Russian Stout - Bourbon Barrel Aged","Stone Brewing",98,"Russian Imperial Stout"
"149","Ground State","Bottle Logic Brewing",98,"American Double / Imperial Stout"
"15","Julius","Tree House Brewing Company",100,"American IPA"
"150","Pirate Paradise","Prairie Artisan Ales",98,"American Double / Imperial Stout"
"151","Barrel Aged Bomb!","Prairie Artisan Ales",98,"American Double / Imperial Stout"
"152","Snozzberry","Green Man Brewery",98,"American Wild Ale"
"153","Prairie Apple Brandy Noir","Prairie Artisan Ales",98,"American Double / Imperial Stout"
"154","Peg's G.O.O.D. RareR D.O.S.","Peg's Cantina &amp; Brew Pub",98,"American Double / Imperial Stout"
"155","Barrel-Aged Silhouette","Lift Bridge Brewery",98,"Russian Imperial Stout"
"156","West Ashley","Sante Adairius Rustic Ales",98,"American Wild Ale"
"157","Abraxas","Perennial Artisan Ales",98,"American Double / Imperial Stout"
